Tr-loss,Val-loss,b-mean,b-median,b-tri-mean,b-b25,b-wst25,b-wst,b-bst,mean,median,trimean,bst25,wst25,wst95,bst
3.5645186371273465,3.7710330963134764,3.7710330963134764,3.3488593101501465,3.4573311805725098,2.960704803466797,5.027417421340942,5.8839335441589355,2.4907665252685547,3.7710330963134764,3.3488593101501465,3.4573311805725098,2.960704803466797,5.027417421340942,5.8839335441589355,2.4907665252685547
3.6609677738613553,0,3.7710330963134764,3.3488593101501465,3.4573311805725098,2.960704803466797,5.027417421340942,5.8839335441589355,2.4907665252685547,3.7710330963134764,3.3488593101501465,3.4573311805725098,2.960704803466797,5.027417421340942,5.8839335441589355,2.4907665252685547
3.617299026913113,3.979819488525391,3.7710330963134764,3.3488593101501465,3.4573311805725098,2.960704803466797,5.027417421340942,5.8839335441589355,2.4907665252685547,3.979819488525391,3.451380968093872,3.536560535430908,2.88161563873291,5.369113922119141,6.376363277435303,2.8278729915618896
3.473198996649848,0,3.7710330963134764,3.3488593101501465,3.4573311805725098,2.960704803466797,5.027417421340942,5.8839335441589355,2.4907665252685547,3.979819488525391,3.451380968093872,3.536560535430908,2.88161563873291,5.369113922119141,6.376363277435303,2.8278729915618896
3.524755080540975,3.87920880317688,3.7710330963134764,3.3488593101501465,3.4573311805725098,2.960704803466797,5.027417421340942,5.8839335441589355,2.4907665252685547,3.87920880317688,3.3376717567443848,3.43121337890625,2.7925682067871094,5.253133296966553,6.249324798583984,2.7595374584198
3.496101564831204,0,3.7710330963134764,3.3488593101501465,3.4573311805725098,2.960704803466797,5.027417421340942,5.8839335441589355,2.4907665252685547,3.87920880317688,3.3376717567443848,3.43121337890625,2.7925682067871094,5.253133296966553,6.249324798583984,2.7595374584198
3.42565910021464,3.5678458213806152,3.5678458213806152,3.1491594314575195,3.263376832008362,2.8055124282836914,4.7975099086761475,5.645343780517578,2.2895374298095703,3.5678458213806152,3.1491594314575195,3.263376832008362,2.8055124282836914,4.7975099086761475,5.645343780517578,2.2895374298095703
3.3287520673539905,0,3.5678458213806152,3.1491594314575195,3.263376832008362,2.8055124282836914,4.7975099086761475,5.645343780517578,2.2895374298095703,3.5678458213806152,3.1491594314575195,3.263376832008362,2.8055124282836914,4.7975099086761475,5.645343780517578,2.2895374298095703
3.3055530389149985,3.521409273147583,3.521409273147583,3.0511553287506104,3.1687493324279785,2.686275005340576,4.809767246246338,5.733122825622559,2.2500815391540527,3.521409273147583,3.0511553287506104,3.1687493324279785,2.686275005340576,4.809767246246338,5.733122825622559,2.2500815391540527
3.3331347836388483,0,3.521409273147583,3.0511553287506104,3.1687493324279785,2.686275005340576,4.809767246246338,5.733122825622559,2.2500815391540527,3.521409273147583,3.0511553287506104,3.1687493324279785,2.686275005340576,4.809767246246338,5.733122825622559,2.2500815391540527
3.279834959242079,3.4385608196258546,3.4385608196258546,3.013204336166382,3.127731442451477,2.697718620300293,4.640751600265503,5.494704723358154,2.200377941131592,3.4385608196258546,3.013204336166382,3.127731442451477,2.697718620300293,4.640751600265503,5.494704723358154,2.200377941131592
3.2176268895467124,0,3.4385608196258546,3.013204336166382,3.127731442451477,2.697718620300293,4.640751600265503,5.494704723358154,2.200377941131592,3.4385608196258546,3.013204336166382,3.127731442451477,2.697718620300293,4.640751600265503,5.494704723358154,2.200377941131592
3.1439876556396484,3.376911687850952,3.376911687850952,2.8836755752563477,3.007526159286499,2.565417528152466,4.6232670545578,5.549198150634766,2.1889312267303467,3.376911687850952,2.8836755752563477,3.007526159286499,2.565417528152466,4.6232670545578,5.549198150634766,2.1889312267303467
3.1975343227386475,0,3.376911687850952,2.8836755752563477,3.007526159286499,2.565417528152466,4.6232670545578,5.549198150634766,2.1889312267303467,3.376911687850952,2.8836755752563477,3.007526159286499,2.565417528152466,4.6232670545578,5.549198150634766,2.1889312267303467
3.123228285047743,3.555622911453247,3.376911687850952,2.8836755752563477,3.007526159286499,2.565417528152466,4.6232670545578,5.549198150634766,2.1889312267303467,3.555622911453247,3.087254524230957,3.1757763028144836,2.646279811859131,4.871200442314148,5.860084533691406,2.3021793365478516
3.0694028006659613,0,3.376911687850952,2.8836755752563477,3.007526159286499,2.565417528152466,4.6232670545578,5.549198150634766,2.1889312267303467,3.555622911453247,3.087254524230957,3.1757763028144836,2.646279811859131,4.871200442314148,5.860084533691406,2.3021793365478516
2.998987171385023,3.1901156663894654,3.1901156663894654,2.7287206649780273,2.8604313731193542,2.4857676029205322,4.403721570968628,5.308926582336426,1.9286469221115112,3.1901156663894654,2.7287206649780273,2.8604313731193542,2.4857676029205322,4.403721570968628,5.308926582336426,1.9286469221115112
2.9423538313971624,0,3.1901156663894654,2.7287206649780273,2.8604313731193542,2.4857676029205322,4.403721570968628,5.308926582336426,1.9286469221115112,3.1901156663894654,2.7287206649780273,2.8604313731193542,2.4857676029205322,4.403721570968628,5.308926582336426,1.9286469221115112
2.9461535612742105,3.086099314689636,3.086099314689636,2.6562716960906982,2.8048295974731445,2.507425308227539,4.230719089508057,5.062088489532471,1.8053613901138306,3.086099314689636,2.6562716960906982,2.8048295974731445,2.507425308227539,4.230719089508057,5.062088489532471,1.8053613901138306
2.910692824257745,0,3.086099314689636,2.6562716960906982,2.8048295974731445,2.507425308227539,4.230719089508057,5.062088489532471,1.8053613901138306,3.086099314689636,2.6562716960906982,2.8048295974731445,2.507425308227539,4.230719089508057,5.062088489532471,1.8053613901138306
